category,io_file,line_in_file,position_in_file,component,old_row,new_row
input,print.prt,60,2,d,,"{'Line in File': '60', 'Position in File': '2', 'Condition': 'if (pco%use_obj_labels == ""n"")', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'd', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}"
input,print.prt,60,3,m,,"{'Line in File': '60', 'Position in File': '3', 'Condition': 'if (pco%use_obj_labels == ""n"")', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'm', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}"
input,print.prt,60,4,y,,"{'Line in File': '60', 'Position in File': '4', 'Condition': 'if (pco%use_obj_labels == ""n"")', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'y', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}"
input,print.prt,60,5,a,,"{'Line in File': '60', 'Position in File': '5', 'Condition': 'if (pco%use_obj_labels == ""n"")', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'a', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}"
input,print.prt,61,1,name,"{'Line in File': '61', 'Position in File': '1', 'Condition': 'if (pco%aa_numint > 0)', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'name', 'Type': 'character(len=16)', 'Dimensions': '-', 'Swat_codetype': '-'}","{'Line in File': '61', 'Position in File': '1', 'Condition': 'if (pco%use_obj_labels == ""n"")', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'name', 'Type': 'character(len=16)', 'Dimensions': '-', 'Swat_codetype': '-'}"
input,print.prt,61,2,cs_res,"{'Line in File': '61', 'Position in File': '2', 'Condition': 'if (pco%aa_numint > 0)', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'cs_res', 'Type': 'type(print_interval)', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}",
input,print.prt,61,2,d,,"{'Line in File': '61', 'Position in File': '2', 'Condition': 'if (pco%use_obj_labels == ""n"")', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'd', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}"
input,print.prt,61,3,m,,"{'Line in File': '61', 'Position in File': '3', 'Condition': 'if (pco%use_obj_labels == ""n"")', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'm', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}"
input,print.prt,61,4,y,,"{'Line in File': '61', 'Position in File': '4', 'Condition': 'if (pco%use_obj_labels == ""n"")', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'y', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}"
input,print.prt,61,5,a,,"{'Line in File': '61', 'Position in File': '5', 'Condition': 'if (pco%use_obj_labels == ""n"")', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'a', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}"
input,print.prt,62,1,name,"{'Line in File': '62', 'Position in File': '1', 'Condition': 'if (pco%aa_numint > 0)', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'name', 'Type': 'character(len=16)', 'Dimensions': '-', 'Swat_codetype': '-'}","{'Line in File': '62', 'Position in File': '1', 'Condition': 'if (pco%use_obj_labels == ""n"")', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'name', 'Type': 'character(len=16)', 'Dimensions': '-', 'Swat_codetype': '-'}"
input,print.prt,62,2,cs_wet,"{'Line in File': '62', 'Position in File': '2', 'Condition': 'if (pco%aa_numint > 0)', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'cs_wet', 'Type': 'type(print_interval)', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}",
input,print.prt,62,2,d,,"{'Line in File': '62', 'Position in File': '2', 'Condition': 'if (pco%use_obj_labels == ""n"")', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'd', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}"
input,print.prt,62,3,m,,"{'Line in File': '62', 'Position in File': '3', 'Condition': 'if (pco%use_obj_labels == ""n"")', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'm', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}"
input,print.prt,62,4,y,,"{'Line in File': '62', 'Position in File': '4', 'Condition': 'if (pco%use_obj_labels == ""n"")', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'y', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}"
input,print.prt,62,5,a,,"{'Line in File': '62', 'Position in File': '5', 'Condition': 'if (pco%use_obj_labels == ""n"")', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'a', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}"
input,print.prt,63,1,name,,"{'Line in File': '63', 'Position in File': '1', 'Condition': 'if (pco%cs_wet%already_read_in)', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'name', 'Type': 'character(len=16)', 'Dimensions': '-', 'Swat_codetype': '-'}"
input,print.prt,63,2,d,,"{'Line in File': '63', 'Position in File': '2', 'Condition': 'if (pco%cs_wet%already_read_in)', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'd', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}"
input,print.prt,63,3,m,,"{'Line in File': '63', 'Position in File': '3', 'Condition': 'if (pco%cs_wet%already_read_in)', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'm', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}"
input,print.prt,63,4,y,,"{'Line in File': '63', 'Position in File': '4', 'Condition': 'if (pco%cs_wet%already_read_in)', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'y', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}"
input,print.prt,63,5,a,,"{'Line in File': '63', 'Position in File': '5', 'Condition': 'if (pco%cs_wet%already_read_in)', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'a', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}"
input,print.prt,7,2,carbout,"{'Line in File': '7', 'Position in File': '2', 'Condition': 'if (pco%aa_numint > 0)', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'carbout', 'Type': 'character(len=1)', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}",
input,print.prt,7,2,use_obj_labels,,"{'Line in File': '7', 'Position in File': '2', 'Condition': 'if (pco%aa_numint > 0)', 'Local (Y/N)': 'N', 'TYPE': 'pco', 'Component': 'use_obj_labels', 'Type': 'character(len=1)', 'Dimensions': '-', 'Swat_codetype': 'in_sim'}"
input,rec_catunit.def,4,5,elem_cnt(isp),"{'Line in File': '4', 'Position in File': '5', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'N', 'TYPE': '-', 'Component': 'elem_cnt(isp)', 'Type': 'integer', 'Dimensions': 'allocatable', 'Swat_codetype': 'in_regs'}","{'Line in File': '4', 'Position in File': '5', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'N', 'TYPE': '-', 'Component': 'elem_cnt(isp)', 'Type': 'integer', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'in_regs'}"
input,rec_pest(i)%filename,4,10,nh3,,"{'Line in File': '4', 'Position in File': '10', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'nh3', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
input,rec_pest(i)%filename,4,11,no2,,"{'Line in File': '4', 'Position in File': '11', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'no2', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
input,rec_pest(i)%filename,4,12,cbod,,"{'Line in File': '4', 'Position in File': '12', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'cbod', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
input,rec_pest(i)%filename,4,13,dox,,"{'Line in File': '4', 'Position in File': '13', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'dox', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
input,rec_pest(i)%filename,4,14,san,,"{'Line in File': '4', 'Position in File': '14', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'san', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
input,rec_pest(i)%filename,4,15,sil,,"{'Line in File': '4', 'Position in File': '15', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'sil', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
input,rec_pest(i)%filename,4,16,cla,,"{'Line in File': '4', 'Position in File': '16', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'cla', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
