input_file,line_in_file,position_in_file,component,old_row,new_row
plants.plt,3,56,lig_frac,{},"{'Line in File': '3', 'Position in File': '56', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'res_part_fracs', 'Component': 'lig_frac', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,3,6,bio_e,"{'Line in File': '3', 'Position in File': '6', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'bio_e', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}","{'Line in File': '3', 'Position in File': '6', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'bio_e', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,3,7,hvsti,"{'Line in File': '3', 'Position in File': '7', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'hvsti', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}","{'Line in File': '3', 'Position in File': '7', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'hvsti', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,3,8,blai,"{'Line in File': '3', 'Position in File': '8', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'blai', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}","{'Line in File': '3', 'Position in File': '8', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'blai', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,3,9,frgrw1,"{'Line in File': '3', 'Position in File': '9', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'frgrw1', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}","{'Line in File': '3', 'Position in File': '9', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'frgrw1', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,1,plantnm,{},"{'Line in File': '4', 'Position in File': '1', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'plantnm', 'Type': 'character(len=40)', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,10,laimx1,{},"{'Line in File': '4', 'Position in File': '10', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'laimx1', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,11,frgrw2,{},"{'Line in File': '4', 'Position in File': '11', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'frgrw2', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,12,laimx2,{},"{'Line in File': '4', 'Position in File': '12', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'laimx2', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,13,dlai,{},"{'Line in File': '4', 'Position in File': '13', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'dlai', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,14,dlai_rate,{},"{'Line in File': '4', 'Position in File': '14', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'dlai_rate', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,15,chtmx,{},"{'Line in File': '4', 'Position in File': '15', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'chtmx', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,16,rdmx,{},"{'Line in File': '4', 'Position in File': '16', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'rdmx', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,17,t_opt,{},"{'Line in File': '4', 'Position in File': '17', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 't_opt', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
