Variable,Classification,SWAT_File,Text_File_Structure,Line,Code,Data_Type,Units,Default,Min_Value,Max_Value,Description,Source_Procedure,Original_Name
id,GENERAL,animal.hrd,animal.hrd,1,R,int,,,,,Parameter from animal.hrd via inferred,inferred,id
name,GENERAL,animal.hrd,animal.hrd,2,R,char,,,,,Parameter from animal.hrd via inferred,inferred,name
iaq,CHANNEL,aqu_cha.lin,aqu_cha.lin,3,R,char,,,,,Parameter from aqu_cha.lin via aqu2d_read,aqu2d_read,iaq
namedum,CHANNEL,aqu_cha.lin,aqu_cha.lin,4,R,char,,,,,Parameter from aqu_cha.lin via aqu2d_read,aqu2d_read,namedum
nspu,CHANNEL,aqu_cha.lin,aqu_cha.lin,5,R,char,,,,,Parameter from aqu_cha.lin via aqu2d_read,aqu2d_read,nspu
numb,CHANNEL,aqu_cha.lin,aqu_cha.lin,6,R,int,,,,,Parameter from aqu_cha.lin via aqu2d_read,aqu2d_read,numb
aq_ch,CHANNEL,aqu_cha.lin,aqu_cha.lin,7,R,char,,,,,Parameter from aqu_cha.lin via aqu2d_read,aqu2d_read,aq_ch(iaq)%name
nspu,CHANNEL,aqu_cha.lin,aqu_cha.lin,8,R,char,,,,,Parameter from aqu_cha.lin via aqu2d_read,aqu2d_read,nspu
"elem_cnt, isp = 1, nspu",CHANNEL,aqu_cha.lin,aqu_cha.lin,9,R,int,,,,,Parameter from aqu_cha.lin via aqu2d_read,aqu2d_read,"elem_cnt(isp), isp = 1, nspu"
aqudb,AQUIFER,aquifer.aqu,aquifer.aqu,10,R,char,,,,,Parameter from aquifer.aqu via aqu_read,aqu_read,aqudb(i)
hru_db,CONNECT,aquifer.con,aquifer.con,11,R,char,,,,,Parameter from aquifer.con via hru_read,hru_read,hru_db(i)%dbsc
ch_dat_c,CONNECT,aquifer.con,aquifer.con,12,R,char,,,,,Parameter from aquifer.con via ch_read,ch_read,ch_dat_c(ichi)
res_dat_c,CONNECT,aquifer.con,aquifer.con,13,R,char,,,,,Parameter from aquifer.con via res_read,res_read,res_dat_c(ires)
aqudb,CONNECT,aquifer.con,aquifer.con,14,R,char,,,,,Parameter from aquifer.con via aqu_read,aqu_read,aqudb(i)
jday,CONNECT,aquifer.con,aquifer.con,15,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,jday
mo,CONNECT,aquifer.con,aquifer.con,16,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,mo
day_mo,CONNECT,aquifer.con,aquifer.con,17,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer.con,aquifer.con,18,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,iyr
jday1,CONNECT,aquifer.con,aquifer.con,19,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,jday1
mo1,CONNECT,aquifer.con,aquifer.con,20,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,mo1
day_mo,CONNECT,aquifer.con,aquifer.con,21,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer.con,aquifer.con,22,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,iyr
jday,CONNECT,aquifer.con,aquifer.con,23,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,jday
mo,CONNECT,aquifer.con,aquifer.con,24,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,mo
day_mo,CONNECT,aquifer.con,aquifer.con,25,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer.con,aquifer.con,26,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,iyr
ob_typ,CONNECT,aquifer.con,aquifer.con,27,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,ob_typ
ob_name,CONNECT,aquifer.con,aquifer.con,28,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,ob_name
recall,CONNECT,aquifer.con,aquifer.con,29,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,"recall(i)%hd(jday1,iyrs)"
jday,CONNECT,aquifer.con,aquifer.con,30,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,jday
mo,CONNECT,aquifer.con,aquifer.con,31,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,mo
day_mo,CONNECT,aquifer.con,aquifer.con,32,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer.con,aquifer.con,33,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,iyr
ob_typ,CONNECT,aquifer.con,aquifer.con,34,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,ob_typ
ob_name,CONNECT,aquifer.con,aquifer.con,35,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,ob_name
recall,CONNECT,aquifer.con,aquifer.con,36,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,"recall(i)%hd(mo1,iyrs)"
jday,CONNECT,aquifer.con,aquifer.con,37,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,jday
mo,CONNECT,aquifer.con,aquifer.con,38,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,mo
day_mo,CONNECT,aquifer.con,aquifer.con,39,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer.con,aquifer.con,40,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,iyr
ob_typ,CONNECT,aquifer.con,aquifer.con,41,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,ob_typ
ob_name,CONNECT,aquifer.con,aquifer.con,42,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,ob_name
ht1,CONNECT,aquifer.con,aquifer.con,43,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,ht1
iyr,CONNECT,aquifer.con,aquifer.con,44,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,iyr
istep,CONNECT,aquifer.con,aquifer.con,45,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,istep
iyr,CONNECT,aquifer.con,aquifer.con,46,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,iyr
istep,CONNECT,aquifer.con,aquifer.con,47,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,istep
recall,CONNECT,aquifer.con,aquifer.con,48,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,"recall(i)%hd(istep,iyrs)"
recall,CONNECT,aquifer.con,aquifer.con,49,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,recall(i)%name
recall,CONNECT,aquifer.con,aquifer.con,50,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,recall(i)%typ
recall,CONNECT,aquifer.con,aquifer.con,51,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,recall(i)%filename
rec_pest,CONNECT,aquifer.con,aquifer.con,52,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,rec_pest(i)%name
rec_pest,CONNECT,aquifer.con,aquifer.con,53,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,rec_pest(i)%typ
rec_pest,CONNECT,aquifer.con,aquifer.con,54,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,rec_pest(i)%filename
hru_db,CONNECT,aquifer2d.con,aquifer2d.con,55,R,char,,,,,Parameter from aquifer2d.con via hru_read,hru_read,hru_db(i)%dbsc
ch_dat_c,CONNECT,aquifer2d.con,aquifer2d.con,56,R,char,,,,,Parameter from aquifer2d.con via ch_read,ch_read,ch_dat_c(ichi)
res_dat_c,CONNECT,aquifer2d.con,aquifer2d.con,57,R,char,,,,,Parameter from aquifer2d.con via res_read,res_read,res_dat_c(ires)
aqudb,CONNECT,aquifer2d.con,aquifer2d.con,58,R,char,,,,,Parameter from aquifer2d.con via aqu_read,aqu_read,aqudb(i)
jday,CONNECT,aquifer2d.con,aquifer2d.con,59,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,jday
mo,CONNECT,aquifer2d.con,aquifer2d.con,60,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,mo
day_mo,CONNECT,aquifer2d.con,aquifer2d.con,61,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer2d.con,aquifer2d.con,62,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,iyr
jday1,CONNECT,aquifer2d.con,aquifer2d.con,63,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,jday1
mo1,CONNECT,aquifer2d.con,aquifer2d.con,64,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,mo1
day_mo,CONNECT,aquifer2d.con,aquifer2d.con,65,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer2d.con,aquifer2d.con,66,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,iyr
jday,CONNECT,aquifer2d.con,aquifer2d.con,67,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,jday
mo,CONNECT,aquifer2d.con,aquifer2d.con,68,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,mo
day_mo,CONNECT,aquifer2d.con,aquifer2d.con,69,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer2d.con,aquifer2d.con,70,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,iyr
ob_typ,CONNECT,aquifer2d.con,aquifer2d.con,71,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,ob_typ
ob_name,CONNECT,aquifer2d.con,aquifer2d.con,72,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,ob_name
recall,CONNECT,aquifer2d.con,aquifer2d.con,73,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,"recall(i)%hd(jday1,iyrs)"
jday,CONNECT,aquifer2d.con,aquifer2d.con,74,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,jday
mo,CONNECT,aquifer2d.con,aquifer2d.con,75,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,mo
day_mo,CONNECT,aquifer2d.con,aquifer2d.con,76,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer2d.con,aquifer2d.con,77,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,iyr
ob_typ,CONNECT,aquifer2d.con,aquifer2d.con,78,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,ob_typ
ob_name,CONNECT,aquifer2d.con,aquifer2d.con,79,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,ob_name
recall,CONNECT,aquifer2d.con,aquifer2d.con,80,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,"recall(i)%hd(mo1,iyrs)"
jday,CONNECT,aquifer2d.con,aquifer2d.con,81,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,jday
mo,CONNECT,aquifer2d.con,aquifer2d.con,82,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,mo
day_mo,CONNECT,aquifer2d.con,aquifer2d.con,83,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer2d.con,aquifer2d.con,84,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,iyr
ob_typ,CONNECT,aquifer2d.con,aquifer2d.con,85,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,ob_typ
ob_name,CONNECT,aquifer2d.con,aquifer2d.con,86,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,ob_name
ht1,CONNECT,aquifer2d.con,aquifer2d.con,87,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,ht1
iyr,CONNECT,aquifer2d.con,aquifer2d.con,88,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,iyr
istep,CONNECT,aquifer2d.con,aquifer2d.con,89,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,istep
iyr,CONNECT,aquifer2d.con,aquifer2d.con,90,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,iyr
istep,CONNECT,aquifer2d.con,aquifer2d.con,91,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,istep
recall,CONNECT,aquifer2d.con,aquifer2d.con,92,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,"recall(i)%hd(istep,iyrs)"
recall,CONNECT,aquifer2d.con,aquifer2d.con,93,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,recall(i)%name
recall,CONNECT,aquifer2d.con,aquifer2d.con,94,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,recall(i)%typ
recall,CONNECT,aquifer2d.con,aquifer2d.con,95,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,recall(i)%filename
rec_pest,CONNECT,aquifer2d.con,aquifer2d.con,96,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,rec_pest(i)%name
rec_pest,CONNECT,aquifer2d.con,aquifer2d.con,97,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,rec_pest(i)%typ
rec_pest,CONNECT,aquifer2d.con,aquifer2d.con,98,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,rec_pest(i)%filename
wst,CLIMATE,atmodep.cli,atmodep.cli,99,R,char,,,,,Parameter from atmodep.cli via cli_staread,cli_staread,wst(i)%name
wst,CLIMATE,atmodep.cli,atmodep.cli,100,R,char,,,,,Parameter from atmodep.cli via cli_staread,cli_staread,wst(i)%wco_c
pcp,CLIMATE,atmodep.cli,atmodep.cli,101,R,real,mm,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,pcp(i)%nbyr
pcp,CLIMATE,atmodep.cli,atmodep.cli,102,R,real,mm,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,pcp(i)%tstep
pcp,CLIMATE,atmodep.cli,atmodep.cli,103,R,real,mm,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,pcp(i)%lat
pcp,CLIMATE,atmodep.cli,atmodep.cli,104,R,real,mm,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,pcp(i)%long
pcp,CLIMATE,atmodep.cli,atmodep.cli,105,R,real,mm,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,pcp(i)%elev
iyr,CLIMATE,atmodep.cli,atmodep.cli,106,R,int,,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,iyr
istep,CLIMATE,atmodep.cli,atmodep.cli,107,R,char,,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,istep
iyr,CLIMATE,atmodep.cli,atmodep.cli,108,R,int,,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,iyr
istep,CLIMATE,atmodep.cli,atmodep.cli,109,R,char,,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,istep
mo,CLIMATE,atmodep.cli,atmodep.cli,110,R,char,,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,mo
day_mo,CLIMATE,atmodep.cli,atmodep.cli,111,R,int,,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,day_mo
ihr,CLIMATE,atmodep.cli,atmodep.cli,112,R,char,,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,ihr
pcp,CLIMATE,atmodep.cli,atmodep.cli,113,R,real,mm,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,"pcp(i)%tss(iss,istep,iyrs)"
iyr,CLIMATE,atmodep.cli,atmodep.cli,114,R,int,,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,iyr
istep,CLIMATE,atmodep.cli,atmodep.cli,115,R,char,,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,istep
pcp,CLIMATE,atmodep.cli,atmodep.cli,116,R,real,mm,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,"pcp(i)%ts(istep,iyrs)"
pcp_n,CLIMATE,atmodep.cli,atmodep.cli,117,R,real,mm,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,pcp_n(i)
pcp,CLIMATE,atmodep.cli,atmodep.cli,118,R,real,mm,,,,Parameter from atmodep.cli via cli_pmeas,cli_pmeas,pcp(i)%filename
tmp,CLIMATE,atmodep.cli,atmodep.cli,119,R,real,degC,,,,Parameter from atmodep.cli via cli_tmeas,cli_tmeas,tmp(i)%nbyr
tmp,CLIMATE,atmodep.cli,atmodep.cli,120,R,real,degC,,,,Parameter from atmodep.cli via cli_tmeas,cli_tmeas,tmp(i)%tstep
tmp,CLIMATE,atmodep.cli,atmodep.cli,121,R,real,degC,,,,Parameter from atmodep.cli via cli_tmeas,cli_tmeas,tmp(i)%lat
tmp,CLIMATE,atmodep.cli,atmodep.cli,122,R,real,degC,,,,Parameter from atmodep.cli via cli_tmeas,cli_tmeas,tmp(i)%long
tmp,CLIMATE,atmodep.cli,atmodep.cli,123,R,real,degC,,,,Parameter from atmodep.cli via cli_tmeas,cli_tmeas,tmp(i)%elev
iyr,CLIMATE,atmodep.cli,atmodep.cli,124,R,int,,,,,Parameter from atmodep.cli via cli_tmeas,cli_tmeas,iyr
istep,CLIMATE,atmodep.cli,atmodep.cli,125,R,char,,,,,Parameter from atmodep.cli via cli_tmeas,cli_tmeas,istep
iyr,CLIMATE,atmodep.cli,atmodep.cli,126,R,int,,,,,Parameter from atmodep.cli via cli_tmeas,cli_tmeas,iyr
istep,CLIMATE,atmodep.cli,atmodep.cli,127,R,char,,,,,Parameter from atmodep.cli via cli_tmeas,cli_tmeas,istep
tempx,CLIMATE,atmodep.cli,atmodep.cli,128,R,char,,,,,Parameter from atmodep.cli via cli_tmeas,cli_tmeas,tempx
tempn,CLIMATE,atmodep.cli,atmodep.cli,129,R,char,,,,,Parameter from atmodep.cli via cli_tmeas,cli_tmeas,tempn
iyr,CLIMATE,atmodep.cli,atmodep.cli,130,R,int,,,,,Parameter from atmodep.cli via cli_tmeas,cli_tmeas,iyr
istep,CLIMATE,atmodep.cli,atmodep.cli,131,R,char,,,,,Parameter from atmodep.cli via cli_tmeas,cli_tmeas,istep
tmp,CLIMATE,atmodep.cli,atmodep.cli,132,R,real,degC,,,,Parameter from atmodep.cli via cli_tmeas,cli_tmeas,"tmp(i)%ts(istep,iyrs)"
tmp,CLIMATE,atmodep.cli,atmodep.cli,133,R,real,degC,,,,Parameter from atmodep.cli via cli_tmeas,cli_tmeas,"tmp(i)%ts2(istep,iyrs)"
tmp_n,CLIMATE,atmodep.cli,atmodep.cli,134,R,real,degC,,,,Parameter from atmodep.cli via cli_tmeas,cli_tmeas,tmp_n(i)
tmp,CLIMATE,atmodep.cli,atmodep.cli,135,R,real,degC,,,,Parameter from atmodep.cli via cli_tmeas,cli_tmeas,tmp(i)%filename
hmd,CLIMATE,atmodep.cli,atmodep.cli,136,R,char,,,,,Parameter from atmodep.cli via cli_hmeas,cli_hmeas,hmd(i)%nbyr
hmd,CLIMATE,atmodep.cli,atmodep.cli,137,R,char,,,,,Parameter from atmodep.cli via cli_hmeas,cli_hmeas,hmd(i)%tstep
hmd,CLIMATE,atmodep.cli,atmodep.cli,138,R,char,,,,,Parameter from atmodep.cli via cli_hmeas,cli_hmeas,hmd(i)%lat
hmd,CLIMATE,atmodep.cli,atmodep.cli,139,R,char,,,,,Parameter from atmodep.cli via cli_hmeas,cli_hmeas,hmd(i)%long
hmd,CLIMATE,atmodep.cli,atmodep.cli,140,R,char,,,,,Parameter from atmodep.cli via cli_hmeas,cli_hmeas,hmd(i)%elev
iyr,CLIMATE,atmodep.cli,atmodep.cli,141,R,int,,,,,Parameter from atmodep.cli via cli_hmeas,cli_hmeas,iyr
istep,CLIMATE,atmodep.cli,atmodep.cli,142,R,char,,,,,Parameter from atmodep.cli via cli_hmeas,cli_hmeas,istep
iyr,CLIMATE,atmodep.cli,atmodep.cli,143,R,int,,,,,Parameter from atmodep.cli via cli_hmeas,cli_hmeas,iyr
istep,CLIMATE,atmodep.cli,atmodep.cli,144,R,char,,,,,Parameter from atmodep.cli via cli_hmeas,cli_hmeas,istep
hmd,CLIMATE,atmodep.cli,atmodep.cli,145,R,char,,,,,Parameter from atmodep.cli via cli_hmeas,cli_hmeas,"hmd(i)%ts(istep,iyrs)"
hmd_n,CLIMATE,atmodep.cli,atmodep.cli,146,R,char,,,,,Parameter from atmodep.cli via cli_hmeas,cli_hmeas,hmd_n(i)
hmd,CLIMATE,atmodep.cli,atmodep.cli,147,R,char,,,,,Parameter from atmodep.cli via cli_hmeas,cli_hmeas,hmd(i)%filename
wnd,CLIMATE,atmodep.cli,atmodep.cli,148,R,char,,,,,Parameter from atmodep.cli via cli_wmeas,cli_wmeas,wnd(i)%nbyr
wnd,CLIMATE,atmodep.cli,atmodep.cli,149,R,char,,,,,Parameter from atmodep.cli via cli_wmeas,cli_wmeas,wnd(i)%tstep
wnd,CLIMATE,atmodep.cli,atmodep.cli,150,R,char,,,,,Parameter from atmodep.cli via cli_wmeas,cli_wmeas,wnd(i)%lat
wnd,CLIMATE,atmodep.cli,atmodep.cli,151,R,char,,,,,Parameter from atmodep.cli via cli_wmeas,cli_wmeas,wnd(i)%long
wnd,CLIMATE,atmodep.cli,atmodep.cli,152,R,char,,,,,Parameter from atmodep.cli via cli_wmeas,cli_wmeas,wnd(i)%elev
iyr,CLIMATE,atmodep.cli,atmodep.cli,153,R,int,,,,,Parameter from atmodep.cli via cli_wmeas,cli_wmeas,iyr
istep,CLIMATE,atmodep.cli,atmodep.cli,154,R,char,,,,,Parameter from atmodep.cli via cli_wmeas,cli_wmeas,istep
iyr,CLIMATE,atmodep.cli,atmodep.cli,155,R,int,,,,,Parameter from atmodep.cli via cli_wmeas,cli_wmeas,iyr
istep,CLIMATE,atmodep.cli,atmodep.cli,156,R,char,,,,,Parameter from atmodep.cli via cli_wmeas,cli_wmeas,istep
wnd,CLIMATE,atmodep.cli,atmodep.cli,157,R,char,,,,,Parameter from atmodep.cli via cli_wmeas,cli_wmeas,"wnd(i)%ts(istep,iyrs)"
wnd_n,CLIMATE,atmodep.cli,atmodep.cli,158,R,char,,,,,Parameter from atmodep.cli via cli_wmeas,cli_wmeas,wnd_n(i)
wnd,CLIMATE,atmodep.cli,atmodep.cli,159,R,char,,,,,Parameter from atmodep.cli via cli_wmeas,cli_wmeas,wnd(i)%filename
atmodep_cont,CLIMATE,atmodep.cli,atmodep.cli,160,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,atmodep_cont%num_sta
atmodep_cont,CLIMATE,atmodep.cli,atmodep.cli,161,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,atmodep_cont%timestep
atmodep_cont,CLIMATE,atmodep.cli,atmodep.cli,162,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,atmodep_cont%mo_init
atmodep_cont,CLIMATE,atmodep.cli,atmodep.cli,163,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,atmodep_cont%yr_init
atmodep_cont,CLIMATE,atmodep.cli,atmodep.cli,164,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,atmodep_cont%num
atmodep,CLIMATE,atmodep.cli,atmodep.cli,165,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,atmodep(iadep)%name
atmodep,CLIMATE,atmodep.cli,atmodep.cli,166,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,atmodep(iadep)%nh4_rf
atmodep,CLIMATE,atmodep.cli,atmodep.cli,167,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,atmodep(iadep)%no3_rf
atmodep,CLIMATE,atmodep.cli,atmodep.cli,168,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,atmodep(iadep)%nh4_dry
atmodep,CLIMATE,atmodep.cli,atmodep.cli,169,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,atmodep(iadep)%no3_dry
atmodep,CLIMATE,atmodep.cli,atmodep.cli,170,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,"atmodep(iadep)%nh4_rfmo(imo), imo = 1,atmodep_cont%num"
atmodep,CLIMATE,atmodep.cli,atmodep.cli,171,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,"atmodep(iadep)%no3_rfmo(imo), imo = 1,atmodep_cont%num"
atmodep,CLIMATE,atmodep.cli,atmodep.cli,172,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,"atmodep(iadep)%nh4_drymo(imo),imo = 1,atmodep_cont%num"
atmodep,CLIMATE,atmodep.cli,atmodep.cli,173,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,"atmodep(iadep)%no3_drymo(imo),imo = 1,atmodep_cont%num"
atmodep,CLIMATE,atmodep.cli,atmodep.cli,174,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,"atmodep(iadep)%nh4_rfyr(iyr), iyr = 1,atmodep_cont%num"
atmodep,CLIMATE,atmodep.cli,atmodep.cli,175,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,"atmodep(iadep)%no3_rfyr(iyr), iyr = 1,atmodep_cont%num"
atmodep,CLIMATE,atmodep.cli,atmodep.cli,176,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,"atmodep(iadep)%nh4_dryyr(iyr),iyr = 1,atmodep_cont%num"
atmodep,CLIMATE,atmodep.cli,atmodep.cli,177,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep,cli_read_atmodep,"atmodep(iadep)%no3_dryyr(iyr),iyr = 1,atmodep_cont%num"
atmodep_cs,CLIMATE,atmodep.cli,atmodep.cli,178,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep_cs,cli_read_atmodep_cs,atmodep_cs(iadep)%cs(ics)%rf
atmodep_cs,CLIMATE,atmodep.cli,atmodep.cli,179,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep_cs,cli_read_atmodep_cs,atmodep_cs(iadep)%cs(ics)%dry
atmodep_cs,CLIMATE,atmodep.cli,atmodep.cli,180,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep_cs,cli_read_atmodep_cs,"atmodep_cs(iadep)%cs(ics)%rfmo(imo),imo=1,atmodep_cont%num"
atmodep_cs,CLIMATE,atmodep.cli,atmodep.cli,181,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep_cs,cli_read_atmodep_cs,"atmodep_cs(iadep)%cs(ics)%drymo(imo),imo=1,atmodep_cont%num"
atmodep_cs,CLIMATE,atmodep.cli,atmodep.cli,182,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep_cs,cli_read_atmodep_cs,"atmodep_cs(iadep)%cs(ics)%rfyr(iyr),iyr=1,atmodep_cont%num"
atmodep_cs,CLIMATE,atmodep.cli,atmodep.cli,183,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep_cs,cli_read_atmodep_cs,"atmodep_cs(iadep)%cs(ics)%dryyr(iyr),iyr=1,atmodep_cont%num"
salt_ion,CLIMATE,atmodep.cli,atmodep.cli,184,R,char,,,,,Parameter from atmodep.cli via cli_read_atmodep_salt,cli_read_atmodep_salt,salt_ion
atmodep_salt,CLIMATE,atmodep.cli,atmodep.cli,185,R,real,m,,,,Parameter from atmodep.cli via cli_read_atmodep_salt,cli_read_atmodep_salt,atmodep_salt(iadep)%salt(isalt)%rf
salt_ion,CLIMATE,atmodep.cli,atmodep.cli,186,R,char,,,,,Parameter from atmodep.cli via cli_read_atmodep_salt,cli_read_atmodep_salt,salt_ion
