Swat_code_type,Parameter_Count,Primary_Classification,Data_Types
sd_chanmorph_output,18,GENERAL,"real, datetime, integer"
aquifer_output,18,GENERAL,"real, datetime, integer"
mgt_killop,18,MANAGEMENT,real
hru_urban,18,HRU,real
pl_read_parms_cal,18,GENERAL,"real, integer, string"
manure_demand_output,18,GENERAL,"real, datetime, integer"
pl_biomass_gro,18,GENERAL,real
res_read_conds,18,RESERVOIR,"real, integer, string"
ch_rtmusk,18,GENERAL,real
aqu_pesticide_output,17,AQUIFER,"real, datetime, integer"
ch_read_orders_cal,17,GENERAL,"integer, real, string"
proc_open,17,GENERAL,real
pl_nup,17,GENERAL,real
swr_percmain,17,GENERAL,real
res_pesticide_output,17,RESERVOIR,"real, datetime, integer"
flow_dur_curve,17,GENERAL,"real, integer"
hru_pesticide_output,17,HRU,"real, datetime, integer"
soil_nutcarb_init,17,SOIL,real
basin_ls_pest_output,17,BASIN,"real, datetime, string"
cha_pesticide_output,17,CHANNEL,"real, datetime, integer"
cli_petmeas,16,CLIMATE,"real, string"
hru_urbanhr,16,HRU,real
channel_output,16,CHANNEL,"real, datetime, integer"
cli_smeas,16,CLIMATE,"real, string"
basin_res_pest_output,16,BASIN,"real, datetime, string"
smp_filter,16,GENERAL,real
basin_ch_pest_output,16,BASIN,"real, datetime, string"
sd_chanbud_output,16,GENERAL,"real, datetime, integer"
pl_community,16,GENERAL,real
nut_nrain,16,NUTRIENT,real
gwflow_fpln,16,GENERAL,real
gwflow_gwsw,16,GENERAL,real
gwflow_resv,16,GENERAL,"real, integer"
proc_cha,16,INPUT_FILE,real
basin_aqu_pest_output,16,BASIN,"real, datetime, string"
header_reservoir,16,GENERAL,"string, real"
pl_leaf_senes,16,GENERAL,real
header_wetland,16,GENERAL,"string, real"
recall_output,15,GENERAL,"real, datetime, string"
cli_wmeas,15,CLIMATE,"real, string"
proc_cal,15,INPUT_FILE,real
cs_lch,15,GENERAL,real
ru_output,15,GENERAL,"real, datetime, string"
pl_waterup,15,GENERAL,real
cli_hmeas,15,CLIMATE,"real, string"
mgt_read_mgtops,15,MANAGEMENT,"real, string, integer"
hru_urb_bmp,15,HRU,real
hru_pathogen_output,15,HRU,"real, datetime, integer"
ch_pathogen_output,15,GENERAL,"real, datetime, integer"
salt_lch,15,GENERAL,real
cal_conditions,15,CALIBRATION,"real, integer"
manure_source_output,14,GENERAL,"real, datetime, integer"
pl_read_regions_cal,14,GENERAL,"real, integer, string"
cli_read_atmodep_salt,14,CLIMATE,"real, string, integer"
basin_aquifer_output,14,BASIN,"real, string, datetime"
wet_irrp,14,WETLAND,real
basin_sw_init,14,BASIN,"real, integer"
overbank_read,14,GENERAL,"real, string, integer"
nut_nminrl,14,NUTRIENT,real
gwflow_ppag,14,GENERAL,"real, integer"
object_read_output,14,GENERAL,"real, datetime, string"
gwflow_soil,14,GENERAL,"real, integer"
gwflow_wetl,14,GENERAL,"real, integer"
pl_fert,13,GENERAL,real
channel_control,13,CHANNEL,real
mgt_transplant,13,MANAGEMENT,real
pl_grow,13,GENERAL,real
cli_staread,13,CLIMATE,"real, string"
pest_metabolite_read,13,PESTICIDE,"real, integer, string"
pl_manure,13,GENERAL,real
gwflow_gwet,13,GENERAL,"real, integer"
salt_roadsalt_read,13,GENERAL,"real, string, integer"
res_pest,13,RESERVOIR,"real, integer"
mgt_harvtuber,13,MANAGEMENT,real
sd_channel_sediment3,13,GENERAL,real
basin_chanmorph_output,13,BASIN,"real, string, datetime"
et_act,13,GENERAL,real
wallo_withdraw,13,GENERAL,real
calsoft_plant,13,GENERAL,"real, integer"
calsoft_sum_output,13,GENERAL,"real, integer"
cli_read_atmodep_cs,13,CLIMATE,"real, string, integer"
pesticide_init,13,GENERAL,real
mgt_harvbiomass,13,MANAGEMENT,real
pl_pup,13,GENERAL,real
cli_weatgn,13,CLIMATE,"real, integer"
pl_write_parms_cal,12,GENERAL,"real, string, integer"
res_hydro,12,RESERVOIR,real
hyd_connect_out,12,GENERAL,"real, string"
swr_satexcess,12,GENERAL,real
cs_rctn_hru,12,GENERAL,real
aqu2d_read,12,GENERAL,"integer, real, string"
aqu2d_init,12,GENERAL,"real, integer"
time_conc_init,12,SIMULATION,"real, integer"
nut_solp,12,NUTRIENT,real
nut_nlch,12,NUTRIENT,real
pl_mortality,12,GENERAL,real
header_aquifer,12,GENERAL,"string, real"
proc_res,12,RESERVOIR,real
header_channel,12,GENERAL,"string, real"
hru_dtbl_actions_init,12,HRU,"real, integer"
header_water_allocation,12,GENERAL,"string, real"
cli_pgen,12,CLIMATE,"real, integer"
hydro_init,12,GENERAL,real
basin_read_objs,11,BASIN,"real, integer, string"
ero_cfactor,11,GENERAL,real
basin_chanbud_output,11,BASIN,"real, string, datetime"
basin_channel_output,11,BASIN,"real, string, datetime"
exco_read_path,11,GENERAL,"real, integer, string"
exco_read_pest,11,GENERAL,"real, integer, string"
exco_read_hmet,11,GENERAL,"real, integer, string"
calsoft_hyd,11,GENERAL,"real, integer"
dr_path_read,11,GENERAL,"real, integer, string"
salt_plant_read,11,GENERAL,"real, string"
ero_ovrsed,11,GENERAL,real
salt_irrig,11,GENERAL,real
calsoft_hyd_bfr_surq,11,GENERAL,"real, integer"
calsoft_sed,11,GENERAL,"real, integer"
structure_set_parms,11,GENERAL,real
exco_read_salt,11,GENERAL,"real, integer, string"
dr_read_pest,11,GENERAL,"real, integer, string"
dr_read_hmet,11,GENERAL,"real, integer, string"
dr_read_salt,11,GENERAL,"real, integer, string"
swr_latsed,11,GENERAL,real
wet_cs,11,WETLAND,real
proc_bsn,11,BASIN,"real, datetime, string"
surface,11,GENERAL,real
ch_rthr,11,GENERAL,"real, datetime"
cs_irrig,11,GENERAL,real
wallo_demand,11,GENERAL,real
mgt_plantop,11,MANAGEMENT,real
hyddep_output,11,GENERAL,"real, datetime, string"
header_path,11,HRU,"string, real"
sd_hydsed_read,10,GENERAL,"real, datetime, integer"
cs_rain,10,GENERAL,real
cs_rctn_aqu,10,GENERAL,real
basin_recall_output,10,BASIN,"real, string, datetime"
dr_read_om,10,GENERAL,"real, integer, string"
rsd_decomp,10,GENERAL,real
et_pot,10,GENERAL,real
pl_nut_demand,10,GENERAL,real
swr_drains,10,GENERAL,real
swr_depstor,10,GENERAL,real
exco_read_om,10,GENERAL,"real, integer, string"
ch_read_parms_cal,10,GENERAL,"real, string"
gwflow_satx,10,GENERAL,real
gwflow_tile,10,GENERAL,real
salt_rain,10,GENERAL,real
ch_read,10,GENERAL,real
ls_read_lsparms_cal,10,GENERAL,"real, string"
ch_watqual4,10,GENERAL,real
cli_rhgen,10,CLIMATE,"real, integer"
soil_plant_init,10,SOIL,"real, string"
mgt_read_grazeops,10,MANAGEMENT,"real, string"
nut_psed,10,NUTRIENT,real
swr_subwq,10,GENERAL,real
soil_plant_init_cs,9,SOIL,"real, string"
pest_cha_res_read,9,PESTICIDE,"real, string"
wet_read_hyd,9,WETLAND,real
ch_rtday,9,GENERAL,real
pest_hru_aqu_read,9,PESTICIDE,"real, string"
path_hru_aqu_read,9,GENERAL,"real, string"
nut_orgnc,9,NUTRIENT,real
pl_leaf_gro,9,GENERAL,real
pest_lch,9,PESTICIDE,"real, integer"
path_cha_res_read,9,GENERAL,"real, string"
calsoft_hyd_bfr_pet,9,GENERAL,"real, integer"
co2_read,9,GENERAL,real
cs_hru_init,9,GENERAL,real
cs_uptake,9,GENERAL,real
dr_db_read,9,INPUT_FILE,real
cs_sorb_aqu,9,GENERAL,real
smp_bmpfixed,9,GENERAL,real
salt_uptake,9,GENERAL,real
calsoft_hyd_bfr_et,9,GENERAL,"real, integer"
stmp_solt,9,GENERAL,real
recall_cs,9,GENERAL,real
res_cs,9,RESERVOIR,real
gwflow_ppex,9,GENERAL,"real, datetime"
exco_db_read,9,INPUT_FILE,real
calsoft_hyd_bfr_latq,9,GENERAL,"real, integer"
calsoft_hyd_bfr_perc,9,GENERAL,"real, integer"
cbn_rsd_decomp,9,GENERAL,real
hmet_hru_aqu_read,9,GENERAL,"real, string"
pl_partition,9,GENERAL,real
header_snutc,9,GENERAL,"string, real"
mgt_harvgrain,9,MANAGEMENT,real
channel_surf_link,9,CHANNEL,"real, integer"
ch_rtpest,9,GENERAL,"real, integer"
time_read,8,SIMULATION,"real, datetime"
unit_hyd_ru_hru,8,GENERAL,real
salt_hru_init,8,GENERAL,real
gwflow_chem,8,GENERAL,real
plant_all_init,8,PLANT,real
cs_plant_read,8,GENERAL,"real, string"
cs_hru_read,8,GENERAL,"real, string"
pl_pupd,8,GENERAL,real
salt_roadsalt,8,GENERAL,real
res_read_salt_cs,8,RESERVOIR,real
pl_nupd,8,GENERAL,real
topohyd_init,8,GENERAL,real
pest_enrsb,8,PESTICIDE,real
cli_precip_control,8,CLIMATE,real
salt_hru_read,8,GENERAL,"real, string"
salt_aqu_read,8,GENERAL,"real, string"
constit_hyd_mult,8,GENERAL,"real, integer"
cs_divert,8,GENERAL,real
cs_sorb_hru,8,GENERAL,real
salt_hru_aqu_read,8,GENERAL,"real, string"
cal_cond_read,8,CALIBRATION,"real, integer"
pest_pesty,7,PESTICIDE,"real, integer"
sd_channel_surf_link,7,GENERAL,"real, integer"
ero_ysed,7,GENERAL,real
se_reactions_aquifer,7,GENERAL,real
se_reactions_soil,7,GENERAL,real
gwflow_canl_out,7,GENERAL,real
pest_pl_up,7,PESTICIDE,"real, integer"
nut_pminrl2,7,NUTRIENT,real
pest_decay,7,PESTICIDE,"real, integer"
mgt_operatn,7,MANAGEMENT,real
wet_read_salt_cs,7,WETLAND,real
wet_salt,7,WETLAND,real
treat_read_om,7,GENERAL,"string, real"
hru_lum_init,7,HRU,"real, string"
res_rel_conds,7,RESERVOIR,real
plant_parm_read,7,PLANT,real
cli_tgen,7,CLIMATE,real
header_yield,7,GENERAL,"string, real"
cli_wndgen,7,CLIMATE,"real, integer"
exco_read,7,GENERAL,"real, string"
dr_ru,7,GENERAL,"real, integer"
curno,7,GENERAL,real
cs_str_output,7,GENERAL,"real, datetime"
gcycl,7,GENERAL,"real, integer"
pathogen_init,6,GENERAL,real
salt_cha_read,6,GENERAL,"real, string"
cs_aqu_read,6,GENERAL,"real, string"
path_ls_runoff,6,GENERAL,real
res_read_saltdb,6,RESERVOIR,"real, string"
wallo_transfer,6,GENERAL,real
dr_read,6,GENERAL,real
cs_urban_read,6,GENERAL,"real, integer"
salt_irr_read,6,GENERAL,"real, string"
res_read_salt,6,RESERVOIR,"real, string"
salt_urban_read,6,GENERAL,"real, integer"
res_read_init,6,RESERVOIR,real
sat_buff_read,6,GENERAL,real
calsoft_hyd_bfr,6,GENERAL,real
swr_percmicro,6,GENERAL,real
pl_nfix,6,GENERAL,real
pl_root_gro,6,GENERAL,real
cn2_init,6,GENERAL,real
recall_salt,6,GENERAL,real
ch_rtpath,6,GENERAL,real
