Broad_Classification,Parameter_Count,Source_Files,Database_Tables
AQUIFER,270,29,29
BASIN,585,22,22
CALIBRATION,131,13,13
CHANNEL,122,8,8
CLIMATE,346,27,27
GENERAL,6542,365,357
HRU,940,54,54
INPUT_FILE,153,23,23
MANAGEMENT,325,24,24
NUTRIENT,116,13,13
OUTPUT_FILE,39,10,10
PESTICIDE,94,19,19
PLANT,72,9,9
RESERVOIR,447,41,39
SIMULATION,115,17,17
SOIL,262,18,18
WETLAND,254,27,27
